id,移动距离(*20长度),敌机id组合,生命值,分数,组合出现位置,移动速度,是否攻击,弹幕id,攻击间隔(帧),掉落道具,掉落星星
number,number,string,string,string,string,string,string,string,string,string,string
mapId,distance,combination,life,score,location,speed,attacked,barrage,interval,prop,stars
1000,0,0,0,0,0,0,0,0,0,0,0
1001,1,6#6,2#2,10#10,"0,0,0#20,0,0",0.4#0.4,1#1,1000#1000,50#50,2#2,5#5
1002,2,5#9,4#4,5#15,"0,0,0#0,0,0",0.6#0.6,1#1,1000#1000,50#50,2#1,2#5
1003,3,000#000,10#10,50#50,"10,0,-50#-10,0,-50",0.2#0.2,1#1,1000#1000,50#50,1#2,3#5
1004,4,7#10,4#30,20,"1,0,0#0,0,-30",0.6#0.3,0#1,0#1001,0#3,2#1,2#10
1005,5,001#001,3#3,50#50,"10,0,-50#-10,0,-50",0.8#0.8,1#1,1000#1000,50#50,1#2,1#1
1006,6,11#11,30#30,50#50,"10,0,-30#-10,0,-30",0.4#0.4,1#1,1004#1004,2#2,1#1,5#5
1007,7,10,10,25,"0,0,-30",0.3,1,1001,4,1,10
1008,8,11,30,50,"0,0,-30",0.6,1,1004,2,1,5
1009,9,7,9,20,"-1,0,0",0.6,1#1,1000#1000,50#50,2,2
1010,10,3#3,4#4,5#5,"0,0,-30#0,0,-50",0.6#0.6,1#1,1000#1000,50#50,2#2,2#2
1011,11,2#4,4#4,5#5,"0,0,-50#0,0,0",0.6#0.6,1#1,1000#1000,50#50,2#2,2#2
1012,12,6#8,4#4,10#15,"20,0,0#0,0,0",0.4#0.4,1#1,1000#1000,50#50,2#2,5#5
9999,13,999,0,0,0,0,0,0,0,0,
