id,移动距离(*20长度),敌机id组合,生命值,分数,组合出现位置,移动速度,是否攻击,弹幕id,攻击间隔(帧),掉落道具,掉落星星
number,number,string,string,string,string,string,string,string,string,string,string
mapId,distance,combination,life,score,location,speed,attacked,barrage,interval,prop,stars
1000,0,0,0,0,0,0,0,0,0,0,5
1001,1,000#000,3#3,50#50,"10,0,-50#-10,0,-50",0.2#0.2,1#1,1000#1000,50#50,1#2,3#5
1002,2,001#001,3#3,50#50,"10,0,-50#-10,0,-50",0.8#0.8,1#1,1000#1000,60#60,1#2,1#1
1003,3,2,3,5,"0,0,-50",0.6,0,0,0,2,2
1004,4,3,3,5,"0,0,-50",0.7,0,0,0,2,2
1005,5,4,3,5,"0,0,0",0.7,1,0,60,2,2
1006,6,5,5,10,"0,0,0",0.6,0,0,0,1,5
1007,7,6,5,10,"0,0,0",0.6,0,0,70,2,5
1008,8,7,9,20,"-1,0,0",0.6,0,0,0,2,2
1009,9,8,9,15,"0,0,0",0.6,0,0,0,1,5
1010,10,9,10,20,"0,0,-15",0.6,1,1003,60,0,5
1011,11,10,10,25,"0,0,-30",0.3,1,1001,4,1,10
1012,12,11,10,50,"0,0,0",0.3,1,1004,2,1,5
1013,13,12,20,50,"0,0,-50",0.1,1,1008,180,1,5
1014,14,2,3,5,"0,0,-50",0.6,0,0,0,2,2
9999,15,999,0,0,0,0,0,0,0,0,
